Timestamp,Em qual bairro do Recife ou Região Metropolitana você reside?  ,Sua residência ou rua costuma ser afetada por alagamentos em períodos de chuva? ,Como você costuma ficar sabendo que um alagamento vai acontecer na sua rua? (Marque todas as que se aplicam),"Nos últimos 12 meses, com quanto tempo de antecedência você conseguiu se preparar antes da água atingir sua casa/rua?",Qual é a sua maior dificuldade quando começa uma chuva forte? [Perda de móveis e eletrodomésticos:],Qual é a sua maior dificuldade quando começa uma chuva forte? [Risco de doenças ou acidentes:],Qual é a sua maior dificuldade quando começa uma chuva forte? [Ficar preso em casa ou no trabalho:],Qual é a sua maior dificuldade quando começa uma chuva forte? [Falta de informações confiáveis sobre o nível do rio/canal:],"Se existisse um sistema que enviasse um alerta direto no seu celular sobre o risco de alagamento na sua rua específica, por qual canal você preferiria receber?","Em uma situação de emergência, o que seria MAIS importante para você ver em um alerta no celular?","Durante chuvas muito fortes, como costuma ficar o sinal de internet (3G/4G/Wi-Fi) na sua casa?",Existe algo que você gostaria que os órgãos de monitoramento fizessem e que hoje não é feito?
3/5/2026 12:11:33,aldeia - camaragibe,"Sim, com frequência (todos os anos)","Grupos de WhatsApp de vizinhos, Observando a intensidade da chuva na hora",Menos de 30 minutos,1,3,3,1,Mensagem no WhatsApp (com mapa e nível da água),"Um aviso em texto curto: ""Risco Alto: Saia de casa nos próximos 20 min""","Fica lento, mas funciona",Trabalhassem
3/5/2026 12:48:29,Derby,"Sim, com frequência (todos os anos)","Olhando o nível da água na calçada/rio, Observando a intensidade da chuva na hora",Não tive tempo nenhum (fui pego de surpresa),1,2,3,1,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,Funciona normalmente,"Porra, n sei"
3/5/2026 14:03:12,Boa Viagem,"Sim, com frequência (todos os anos)","Olhando o nível da água na calçada/rio, Grupos de WhatsApp de vizinhos, Observando a intensidade da chuva na hora, Instagram, Twitter e Tiktok local",Não tive tempo nenhum (fui pego de surpresa),1,5,5,5,Mensagem no WhatsApp (com mapa e nível da água),"Um aviso em texto curto: ""Risco Alto: Saia de casa nos próximos 20 min""",Cai com frequência e fico sem comunicação,Avisos prévios e saneamento básico 
3/5/2026 14:11:28,Cordeiro ,Às vezes (apenas em grandes temporais),"Avisos de rádio ou TV, Internet ",Não fui atingido,2,3,3,3,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,"Fica lento, mas funciona",Campanhas de prevenção junto a população 
3/5/2026 14:12:15,Tamarineira,"Raramente, mas já aconteceu",Olhando o nível da água na calçada/rio,Não tive tempo nenhum (fui pego de surpresa),1,5,5,3,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,Funciona normalmente,"Que tivessem uma comunicação mais efetiva. O Instagram da prefeitura já melhorou muito pra trazer visibilidade com os Alertas sobre o estágio da cidade, mas pra trazer isso de forma mais ativa e individualizada ainda falta muito."
3/5/2026 14:19:36,Cordeiro,"Sim, com frequência (todos os anos)","Olhando o nível da água na calçada/rio, Observando a intensidade da chuva na hora",Não tive tempo nenhum (fui pego de surpresa),1,4,5,5,Mensagem no WhatsApp (com mapa e nível da água),"Um aviso em texto curto: ""Risco Alto: Saia de casa nos próximos 20 min""","Fica lento, mas funciona",
3/5/2026 14:55:14,Espinheiro ,"Sim, com frequência (todos os anos)","Olhando o nível da água na calçada/rio, Observando a intensidade da chuva na hora",Menos de 30 minutos,1,2,5,1,Notificação de um aplicativo próprio,Um mapa colorido mostrando as ruas já alagadas,Funciona normalmente,Aviso prévio 
3/5/2026 14:58:55,Cordeiro,Às vezes (apenas em grandes temporais),"Olhando o nível da água na calçada/rio, Observando a intensidade da chuva na hora",Não fui atingido,1,5,4,3,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,"Fica lento, mas funciona","Deveriam investir mais na infraestrutura da região, não é de hoje que temos problemas com chuvas e alagamentos."
3/5/2026 15:01:20,Casa Amarela,Não,,,,,,,,,,
3/5/2026 18:46:34,Ibura,"Raramente, mas já aconteceu",Observando a intensidade da chuva na hora,Não fui atingido,2,5,5,2,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,Funciona normalmente,Desobistruções dos canais nas áreas periféricas
3/5/2026 18:55:28,Janga,Às vezes (apenas em grandes temporais),Observando a intensidade da chuva na hora,Não tive tempo nenhum (fui pego de surpresa),1,1,1,1,Mensagem no WhatsApp (com mapa e nível da água),"Um aviso em texto curto: ""Risco Alto: Saia de casa nos próximos 20 min""",Cai com frequência e fico sem comunicação,
3/5/2026 18:58:47,boa viagem,Às vezes (apenas em grandes temporais),"Olhando o nível da água na calçada/rio, Grupos de WhatsApp de vizinhos",Entre 30 minutos e 2 horas,1,4,4,2,SMS tradicional,Um mapa colorido mostrando as ruas já alagadas,"Fica lento, mas funciona",
3/5/2026 18:59:41,Boa viagem,"Sim, com frequência (todos os anos)","Olhando o nível da água na calçada/rio, Observando a intensidade da chuva na hora",Não fui atingido,1,4,5,1,Mensagem no WhatsApp (com mapa e nível da água),"Um aviso em texto curto: ""Risco Alto: Saia de casa nos próximos 20 min""",Funciona normalmente,
3/5/2026 19:00:37,Socorro ,"Raramente, mas já aconteceu",Olhando o nível da água na calçada/rio,Não fui atingido,1,3,5,3,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,"Fica lento, mas funciona",
3/5/2026 19:00:57,Setúbal ,Às vezes (apenas em grandes temporais),Olhando o nível da água na calçada/rio,Não tive tempo nenhum (fui pego de surpresa),1,2,5,3,Notificação de um aplicativo próprio,Um mapa colorido mostrando as ruas já alagadas,Cai com frequência e fico sem comunicação,
3/5/2026 19:02:17,Boa viagem ,Às vezes (apenas em grandes temporais),"Grupos de WhatsApp de vizinhos, Observando a intensidade da chuva na hora",Não tive tempo nenhum (fui pego de surpresa),1,3,4,3,Mensagem no WhatsApp (com mapa e nível da água),Um gráfico mostrando o quanto o nível da água subiu na última hora,Funciona normalmente,Melhorar os canais e redes de esgoto 
3/5/2026 19:02:26,Boa Viagem,"Sim, com frequência (todos os anos)",Observando a intensidade da chuva na hora,Não tive tempo nenhum (fui pego de surpresa),2,3,5,3,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,"Fica lento, mas funciona",
3/5/2026 19:03:30,Setubal,Às vezes (apenas em grandes temporais),"Olhando o nível da água na calçada/rio, Grupos de WhatsApp de vizinhos, Observando a intensidade da chuva na hora",Não fui atingido,1,3,3,1,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,"Fica lento, mas funciona",
3/5/2026 19:05:06,Boa Viagem,Às vezes (apenas em grandes temporais),Olhando o nível da água na calçada/rio,Entre 30 minutos e 2 horas,1,1,4,1,Mensagem no WhatsApp (com mapa e nível da água),"Um aviso em texto curto: ""Risco Alto: Saia de casa nos próximos 20 min""",Funciona normalmente,
3/5/2026 19:06:56,Graças ,"Sim, com frequência (todos os anos)","Olhando o nível da água na calçada/rio, Observando a intensidade da chuva na hora",Mais de 2 horas,1,1,4,1,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,"Fica lento, mas funciona",
3/5/2026 19:09:11,Boa Vista ,Às vezes (apenas em grandes temporais),Olhando o nível da água na calçada/rio,Não fui atingido,1,1,1,1,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,Funciona normalmente,
3/5/2026 19:11:07,Boa viagem ,"Sim, com frequência (todos os anos)","Grupos de WhatsApp de vizinhos, Observando a intensidade da chuva na hora",Não fui atingido,1,5,5,5,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,Cai com frequência e fico sem comunicação,"Melhorar a vida da população com informações importantes, isso evitaria muitas calamidades "
3/5/2026 19:12:42,Boa viagem ,"Sim, com frequência (todos os anos)","Olhando o nível da água na calçada/rio, Grupos de WhatsApp de vizinhos, Avisos de rádio ou TV, Observando a intensidade da chuva na hora",Não tive tempo nenhum (fui pego de surpresa),1,5,5,5,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,"Fica lento, mas funciona","Melhorias de vias e sincronizar os sinais em locais que tem alta demanda devido à chuva como via mangue, domingos Ferreira, Pina e agamenon  "
3/5/2026 19:12:56,Pina,"Raramente, mas já aconteceu",Olhando o nível da água na calçada/rio,Não tive tempo nenhum (fui pego de surpresa),1,1,2,1,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,Funciona normalmente,
3/5/2026 19:15:33,Boa viagem ,Às vezes (apenas em grandes temporais),"Olhando o nível da água na calçada/rio, Grupos de WhatsApp de vizinhos, Avisos de rádio ou TV",Não fui atingido,1,3,4,2,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,Funciona normalmente,
3/5/2026 19:21:22,Boa viagem ,Às vezes (apenas em grandes temporais),Olhando o nível da água na calçada/rio,Menos de 30 minutos,1,1,1,2,Mensagem no WhatsApp (com mapa e nível da água),"Um aviso em texto curto: ""Risco Alto: Saia de casa nos próximos 20 min""",Funciona normalmente,
3/5/2026 19:27:58,Boa Viagem ,Às vezes (apenas em grandes temporais),Observando a intensidade da chuva na hora,Não fui atingido,1,3,2,3,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,"Fica lento, mas funciona",
